,Title,Developer(s),Publisher(s),Japan,North_America,PAL_region,Ref.,Realese_JP,Realese_North_America,Realese_PAL_region,Year_JP,Month_JP,Year_North_America,Month_North_America,Year_PAL,Month_PAL
0,3 Ninjas Kick Back,Malibu Interactive,Sony Imagesoft,Unreleased,"June 19, 1994",Unreleased,,,1994-06-19,,,,1994,6,,
1,3×3 Eyes Juuma Houkan,System Supply N-Tech,Banpresto,"December 22, 1995",Unreleased,Unreleased,,1995-12-22,,,1995,12,,,,
2,3×3 Eyes Seima Kourin-den,Nova Games,Yutaka,"July 28, 1992",Unreleased,Unreleased,,1992-07-28,,,1992,7,,,,
3,3rd Super Robot Wars,Banpresto,Banpresto,"July 23, 1993",Unreleased,Unreleased,,1993-07-23,,,1993,7,,,,
4,4 Nin Shougi,Planning Office Wada,Planning Office Wada,"July 14, 1995",Unreleased,Unreleased,,1995-07-14,,,1995,7,,,,
5,4th Super Robot Wars,Banpresto,Banpresto,"March 17, 1995",Unreleased,Unreleased,,1995-03-17,,,1995,3,,,,
6,The 7th Saga•ElnardJP,Produce,Gameplan21 (JP)Enix (NA),"April 23, 1993","August 3, 1993",Unreleased,,1993-04-23,1993-08-03,,1993,4,1993,8,,
7,90 Minutes European Prime Goal•J.League Soccer Prime Goal 3JP,Namco,Namco (JP)Ocean Software (EU),"August 4, 1995",Unreleased,"December 20, 1995",,1995-08-04,,1995-12-20,1995,8,,,1995,12
8,A.S.P. Air Strike Patrol•Desert FighterEU•Desert Fighter: Suna no Arashi SakusenJP,SETA,SETA (JP/NA)System 3 (EU),September 1994,"February 18, 1994","January 1, 1995",,1994-09-01,1994-02-18,1995-01-01,1994,9,1994,2,1995,1
9,AIII S.V.: Let's Take the A-Train 3 Super Version,Pack-In-Video,Artdink,"September 29, 1995",Unreleased,Unreleased,,1995-09-29,,,1995,9,,,,
10,Aaahh!!! Real Monsters,Realtime Associates,Viacom New Media,Unreleased,"August 15, 1995",1995,,,1995-08-15,1995-01-01,,,1995,8,1995,1
11,ABC Monday Night Football•ABC Mande Naito FuttoboruJP,Data East / Kuusoukagaku,Data East,"November 26, 1993","December 7, 1993",Unreleased,,1993-11-26,1993-12-07,,1993,11,1993,12,,
12,Accele Brid,Tomy,Tomy,"November 26, 1993",Unreleased,Unreleased,,1993-11-26,,,1993,11,,,,
13,ACME Animation Factory,Probe Software,Sunsoft,Unreleased,"November 5, 1994","March 1, 1995",,,1994-11-05,1995-03-01,,,1994,11,1995,3
14,Acrobat Mission,Micronics,Techiku,"September 11, 1992",Unreleased,Unreleased,,1992-09-11,,,1992,9,,,,
15,Action Pachio,Coconuts Japan,Coconuts Japan,"April 9, 1993",Unreleased,Unreleased,,1993-04-09,,,1993,4,,,,
16,ActRaiser,Quintet,Enix,"December 16, 1990","November 1, 1991","March 18, 1993",,1990-12-16,1991-11-01,1993-03-18,1990,12,1991,11,1993,3
17,ActRaiser 2•ActRaiser 2: Chinmoku e no SeisenJP,Quintet,Enix,"October 29, 1993","November 16, 1993","November 1, 1994",,1993-10-29,1993-11-16,1994-11-01,1993,10,1993,11,1994,11
18,The Addams Family,Ocean Software,Ocean Software,"October 23, 1992","March 10, 1992",1992,,1992-10-23,1992-03-10,1992-01-01,1992,10,1992,3,1992,1
19,The Addams Family: Pugsley's Scavenger Hunt,Ocean Software,Ocean Software,Unreleased,"February 23, 1993",1992,,,1993-02-23,1992-01-01,,,1993,2,1992,1
20,Addams Family Values,Ocean Software,Ocean Software,Unreleased,"February 14, 1995","March 28, 1996",,,1995-02-14,1996-03-28,,,1995,2,1996,3
21,The Adventures of Batman & Robin,Konami,Konami,Unreleased,"December 1, 1994",1994,,,1994-12-01,1994-01-01,,,1994,12,1994,1
22,The Adventures of Dr. Franken,MotiveTime,DTMC (NA)Elite Systems (EU),Unreleased,"December 1, 1993",1993,,,1993-12-01,1993-01-01,,,1993,12,1993,1
23,The Adventures of Mighty Max,Ocean Software,Ocean Software,Unreleased,"February 7, 1995",1995,,,1995-02-07,1995-01-01,,,1995,2,1995,1
24,The Adventures of Rocky and Bullwinkle and Friends,Imagineering,THQ,Unreleased,"June 1, 1993",Unreleased,,,1993-06-01,,,,1993,6,,
25,The Adventures of Tintin: Prisoners of the Sun,Herge,Infogrames,Unreleased,Unreleased,"February 9, 1997",,,,1997-02-09,,,,,1997,2
26,Adventures of Yogi Bear•Yogi Bear's Cartoon CapersEU,Empire Software,Cybersoft,"January 3, 1995","October 1, 1994","November 24, 1994",,1995-01-03,1994-10-01,1994-11-24,1995,1,1994,10,1994,11
27,Aero Fighters•Sonic WingsJP,Video System,Video System (JP)MC O'River (NA),"July 30, 1993","November 1, 1994",Unreleased,,1993-07-30,1994-11-01,,1993,7,1994,11,,
28,Aero the Acro-Bat,Iguana Entertainment,Sunsoft,Unreleased,"October 12, 1993",November 1993,[9][10],,1993-10-12,1993-11-01,,,1993,10,1993,11
29,Aero the Acro-Bat 2,Iguana Entertainment,Sunsoft,Unreleased,November 1994,August 1994,[11],,1994-11-01,1994-08-01,,,1994,11,1994,8
30,Aerobiz•Air Management: Oozora ni KakeruJP,Koei,Koei,"April 5, 1992","February 2, 1993",Unreleased,,1992-04-05,1993-02-02,,1992,4,1993,2,,
31,Aerobiz Supersonic•Air Management II: Koukuu Ou wo MezaseJP,Koei,Koei,"April 2, 1993","August 29, 1994",Unreleased,,1993-04-02,1994-08-29,,1993,4,1994,8,,
